TEAM_ID,TEAM_NAME,SEASON,games_played,wins,losses,avg_pts,avg_ast,avg_reb,avg_fg_pct,avg_fg3_pct,avg_ft_pct
1610612745,Houston Rockets,2024,82,52,30,114.29268292682927,23.341463414634145,48.46341463414634,45.51219512195122,35.25365853658537,74.03170731707317
1610612745,Houston Rockets,2025,34,22,12,118.88235294117646,25.323529411764707,49.05882352941177,48.76764705882353,38.779411764705884,77.80882352941177
1610612746,Los Angeles Clippers,2010,82,32,50,98.64634146341463,22.109756097560975,42.146341463414636,45.78292682926829,33.74268292682927,70.53536585365853
1610612746,Los Angeles Clippers,2011,66,40,26,97.54545454545455,20.984848484848484,41.56060606060606,45.57424242424242,35.192424242424245,67.4409090909091
1610612746,Los Angeles Clippers,2012,82,56,26,101.08536585365853,23.878048780487806,41.6219512195122,47.8,35.43780487804879,71.7329268292683
1610612746,Los Angeles Clippers,2013,82,57,25,107.92682926829268,24.585365853658537,43.0,47.53658536585366,35.12560975609757,73.15609756097561
1610612746,Los Angeles Clippers,2014,82,56,26,106.71951219512195,24.76829268292683,42.6219512195122,47.349999999999994,37.24756097560976,71.14512195121951
1610612746,Los Angeles Clippers,2015,82,53,29,104.5,22.841463414634145,42.048780487804876,46.62073170731707,36.517073170731706,70.67682926829268
1610612746,Los Angeles Clippers,2016,82,51,31,108.67073170731707,22.536585365853657,43.02439024390244,47.63292682926829,37.36829268292683,74.88780487804878
1610612746,Los Angeles Clippers,2017,82,42,40,108.98780487804878,22.341463414634145,43.8780487804878,47.296341463414635,35.11585365853659,73.93170731707318
1610612746,Los Angeles Clippers,2018,82,48,34,115.14634146341463,24.024390243902438,45.51219512195122,47.2,38.75365853658537,78.9451219512195
1610612746,Los Angeles Clippers,2019,72,49,23,116.34722222222223,23.72222222222222,47.65277777777778,46.65416666666667,36.94444444444444,79.26527777777778
1610612746,Los Angeles Clippers,2020,72,47,25,114.01388888888889,24.38888888888889,44.15277777777778,48.31111111111111,41.25555555555556,83.88194444444444
1610612746,Los Angeles Clippers,2021,82,42,40,108.41463414634147,24.01219512195122,43.98780487804878,45.8780487804878,37.30365853658537,78.97439024390243
1610612746,Los Angeles Clippers,2022,82,44,38,113.58536585365853,23.890243902439025,43.23170731707317,47.91219512195122,37.68292682926829,77.50853658536586
1610612746,Los Angeles Clippers,2023,82,51,31,115.6219512195122,25.573170731707318,42.96341463414634,48.91341463414635,38.24268292682927,82.99878048780488
1610612746,Los Angeles Clippers,2024,82,50,32,112.8780487804878,25.170731707317074,43.792682926829265,48.30975609756097,37.72682926829268,79.58414634146341
1610612746,Los Angeles Clippers,2025,36,13,23,112.08333333333333,23.583333333333332,40.583333333333336,47.32222222222223,36.23888888888889,84.35000000000001
1610612747,Los Angeles Lakers,2010,82,57,25,101.47560975609755,21.963414634146343,43.96341463414634,46.37195121951219,35.15609756097561,77.41341463414633
1610612747,Los Angeles Lakers,2011,66,41,25,97.3030303030303,22.5,46.21212121212121,45.76212121212121,32.25151515151515,75.77424242424243
1610612747,Los Angeles Lakers,2012,82,45,37,102.20731707317073,22.170731707317074,44.80487804878049,45.96341463414634,35.34390243902439,69.63536585365854
1610612747,Los Angeles Lakers,2013,82,27,55,102.95121951219512,24.463414634146343,41.03658536585366,45.09268292682927,37.707317073170735,75.79512195121951
1610612747,Los Angeles Lakers,2014,82,21,61,98.45121951219512,20.914634146341463,43.890243902439025,43.56463414634146,34.0280487804878,73.86829268292684
1610612747,Los Angeles Lakers,2015,82,17,65,97.34146341463415,18.024390243902438,42.96341463414634,41.53170731707317,31.78658536585366,77.84634146341463
1610612747,Los Angeles Lakers,2016,82,26,56,104.57317073170732,20.926829268292682,43.52439024390244,45.048780487804876,34.25,75.53780487804879
1610612747,Los Angeles Lakers,2017,82,35,47,108.07317073170732,23.76829268292683,46.3780487804878,46.0890243902439,33.99756097560976,71.84512195121951
1610612747,Los Angeles Lakers,2018,82,37,45,111.76829268292683,25.5609756097561,46.58536585365854,47.10243902439025,33.1170731707317,69.76829268292684
1610612747,Los Angeles Lakers,2019,71,52,19,113.43661971830986,25.3943661971831,45.732394366197184,47.9112676056338,34.77042253521127,72.84788732394367
1610612747,Los Angeles Lakers,2020,72,42,30,109.54166666666667,24.65277777777778,44.236111111111114,47.209722222222226,35.34305555555555,73.85
1610612747,Los Angeles Lakers,2021,82,33,49,112.09756097560975,24.0,44.0,46.91463414634146,34.68170731707317,73.52073170731708
1610612747,Los Angeles Lakers,2022,82,43,39,117.17073170731707,25.26829268292683,45.707317073170735,48.30975609756097,34.80365853658537,77.33536585365853
1610612747,Los Angeles Lakers,2023,82,47,35,118.03658536585365,28.536585365853657,43.109756097560975,49.960975609756105,37.426829268292686,77.41707317073171
1610612747,Los Angeles Lakers,2024,82,50,32,113.39024390243902,25.98780487804878,42.426829268292686,47.96707317073171,36.4780487804878,78.82560975609756
1610612747,Los Angeles Lakers,2025,35,23,12,116.34285714285714,24.857142857142858,41.285714285714285,49.82285714285714,34.22571428571428,77.36857142857143
1610612748,Miami Heat,2010,82,58,24,102.0609756097561,19.98780487804878,42.146341463414636,48.117073170731715,36.735365853658536,76.70121951219512
1610612748,Miami Heat,2011,66,46,20,98.48484848484848,19.954545454545453,41.60606060606061,46.95909090909091,35.24848484848484,77.23333333333333
1610612748,Miami Heat,2012,82,66,16,102.8780487804878,23.048780487804876,38.609756097560975,49.702439024390245,39.356097560975606,75.90609756097561
1610612748,Miami Heat,2013,82,54,28,102.1951219512195,22.524390243902438,36.8780487804878,50.18292682926829,36.415853658536584,76.34634146341463
1610612748,Miami Heat,2014,82,37,45,94.6829268292683,19.829268292682926,39.1219512195122,45.670731707317074,33.58536585365853,74.19878048780487
1610612748,Miami Heat,2015,82,48,34,100.04878048780488,20.841463414634145,44.1219512195122,47.19024390243902,33.3109756097561,74.78780487804877
1610612748,Miami Heat,2016,82,41,41,103.17073170731707,21.24390243902439,43.6219512195122,45.58414634146341,36.09024390243902,70.77926829268293
1610612748,Miami Heat,2017,82,44,38,103.41463414634147,22.70731707317073,43.46341463414634,45.60243902439024,35.797560975609755,75.57682926829268
1610612748,Miami Heat,2018,82,39,43,105.70731707317073,24.28048780487805,46.34146341463415,45.18536585365854,35.05731707317073,68.91951219512195
1610612748,Miami Heat,2019,73,44,29,112.04109589041096,25.91780821917808,44.36986301369863,46.89178082191781,38.019178082191786,78.0068493150685
1610612748,Miami Heat,2020,72,40,32,108.06944444444444,26.319444444444443,41.5,46.86527777777778,35.91111111111112,78.95416666666667
1610612748,Miami Heat,2021,82,53,29,110.02439024390245,25.48780487804878,43.71951219512195,46.80487804878049,37.85609756097561,81.25243902439023
1610612748,Miami Heat,2022,82,44,38,109.47560975609755,23.841463414634145,40.59756097560975,46.04512195121951,34.431707317073176,82.81829268292682
1610612748,Miami Heat,2023,82,46,36,110.14634146341463,25.804878048780488,42.292682926829265,46.546341463414635,37.0,81.68048780487804
1610612748,Miami Heat,2024,82,37,45,110.59756097560975,26.414634146341463,43.390243902439025,46.58780487804878,37.03414634146341,79.62926829268294
1610612748,Miami Heat,2025,37,20,17,120.10810810810811,28.7027027027027,45.648648648648646,46.921621621621625,36.56216216216217,80.0945945945946
1610612749,Milwaukee Bucks,2010,82,35,47,91.8780487804878,18.841463414634145,40.75609756097561,43.0939024390244,34.1780487804878,75.80121951219512
1610612749,Milwaukee Bucks,2011,66,31,35,99.01515151515152,23.484848484848484,42.46969696969697,44.334848484848486,33.915151515151514,77.85909090909091
1610612749,Milwaukee Bucks,2012,82,38,44,98.8780487804878,22.878048780487806,43.96341463414634,43.56585365853658,35.575609756097556,73.49878048780486
1610612749,Milwaukee Bucks,2013,82,15,67,95.47560975609755,21.463414634146343,41.09756097560975,43.9829268292683,35.65243902439024,74.48536585365854
1610612749,Milwaukee Bucks,2014,82,41,41,97.84146341463415,23.5609756097561,42.073170731707314,46.074390243902435,36.38292682926829,75.2560975609756
1610612749,Milwaukee Bucks,2015,82,33,49,99.04878048780488,23.109756097560975,41.670731707317074,46.74512195121952,34.48658536585366,74.7
1610612749,Milwaukee Bucks,2016,82,42,40,103.6219512195122,24.195121951219512,40.390243902439025,47.515853658536585,37.25,76.78658536585365
1610612749,Milwaukee Bucks,2017,82,44,38,106.47560975609755,23.23170731707317,39.84146341463415,47.892682926829266,35.62682926829268,78.40731707317073
